Item Name,Qty,Price (total) (USD),Item link,Notes
Carbon Fibre  Frame,1,$6.70,kitsguru.com/products/xI7-294mm-carbon-fiber-frame,This is an example part! Add things to note here.
1115KV Brushless Motor,4,$67.90,https://tinyurl.com/2xaf9mwr,Requires reimbursment 
"Banana Pi BPI-M2 Pro 
",,$135.43,https://tinyurl.com/ydpc8rms,NO FUNDING NEEDED
Matek H743-SLIM-V4,1,$125.99,https://tinyurl.com/4z4pab75,NO FUNDING NEEDED 
MODULE M10Q-5883 GPS ,1,$110.00,,NO FUNDING NEEDED
RTL-SDR Blog V4,1,$91.84,amazon.ca/RTL-SDR-Blog-RTL2832U-Software-Defined,NO FUNDING NEEDED
"Q Brain 4 x 25A ESC
",1,$29.99,,NO FUNDING NEEDED
 14.8V 4S Lipo Battery 70C ,2,$71.99,https://tinyurl.com/ycxx3kaf,
10CM 20CM Dupont Wire ,1,$16.00,https://tinyurl.com/2kncfued,
"SKYRC B6AC NEO Smart AC 60W DC 200W 10A Battery Balance Charger 1-6S Lipo LiFe Lilon LiHV 1-15S NiMH NiCd C55",1,$61.09,https://www.alibaba.com/pla/SKYRC-B6AC-NEO-Smart-AC-60W_1601630940480.html?mark=google_shopping&biz=pla&searchText=electronic+accessories&product_id=1601630940480&pcy=ca_fr&utm_source=chatgpt.com,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$716.93,,,
